shapeID,shapeName,bps_code,bps_name,match
22746128B65593111718524,Aceh Barat,1107,Aceh Barat,exact
22746128B227561513795,Aceh Barat Daya,1112,Aceh Barat Daya,exact
22746128B90547447297479,Aceh Besar,1108,Aceh Besar,exact
22746128B21424895456858,Aceh Jaya,1116,Aceh Jaya,exact
22746128B12428400263117,Aceh Selatan,1103,Aceh Selatan,exact
22746128B17710719872214,Aceh Singkil,1102,Aceh Singkil,exact
22746128B57620394058931,Aceh Tamiang,1114,Aceh Tamiang,exact
22746128B89023327523654,Aceh Tengah,1106,Aceh Tengah,exact
22746128B65780821536148,Aceh Tenggara,1104,Aceh Tenggara,exact
22746128B94735591859977,Aceh Timur,1105,Aceh Timur,exact
22746128B43339434023645,Aceh Utara,1111,Aceh Utara,exact
22746128B89220130199878,Agam,1307,Agam,exact
22746128B1117135414899,Alor,5307,Alor,exact
22746128B26461090721788,Asahan,1208,Asahan,exact
22746128B62198228854475,Asmat,9415,Asmat,exact
22746128B76986430159502,Badung,5103,Badung,exact
22746128B67876608948387,Balangan,6311,Balangan,exact
22746128B73297609500416,Bandung,3204,Bandung,exact
22746128B79756617117888,Bandung Barat,3217,Bandung Barat,exact
22746128B48169474795911,Banggai,7202,Banggai,exact
22746128B2571336805106,Banggai Kepulauan,7201,Banggai Kepulauan,exact
22746128B78411617556279,Banggai Laut,7211,Banggai Laut,exact
22746128B27585215741432,Bangka,1901,Bangka,exact
22746128B47433230053131,Bangka Barat,1903,Bangka Barat,exact
22746128B19321376976921,Bangka Selatan,1905,Bangka Selatan,exact
22746128B66707258567489,Bangka Tengah,1904,Bangka Tengah,exact
22746128B23347682239441,Bangkalan,3526,Bangkalan,exact
22746128B25936754669599,Bangli,5106,Bangli,exact
22746128B79736905882971,Banjar,6303,Banjar,exact
22746128B31481808975183,Banjarnegara,3304,Banjarnegara,exact
22746128B71175962379658,Bantaeng,7303,Bantaeng,exact
22746128B15956982783625,Bantul,3402,Bantul,exact
22746128B71070720422540,Banyu Asin,1607,Banyu Asin,exact
22746128B18933963724988,Banyumas,3302,Banyumas,exact
22746128B51270543903443,Banyuwangi,3510,Banyuwangi,exact
22746128B88870484763637,Barito Kuala,6304,Barito Kuala,exact
22746128B74191069780867,Barito Selatan,6204,Barito Selatan,exact
22746128B29529230943245,Barito Timur,6212,Barito Timur,exact
22746128B89680104320053,Barito Utara,6205,Barito Utara,exact
22746128B81694843903641,Barru,7310,Barru,exact
22746128B4894534477686,Batang,3325,Batang,exact
22746128B80000441774097,Batang Hari,1504,Batang Hari,exact
22746128B96384374000902,Batu Bara,1219,Batu Bara,exact
22746128B74302729610221,Bekasi,3216,Bekasi,exact
22746128B80009106787015,Belitung,1902,Belitung,exact
22746128B98690900191937,Belitung Timur,1906,Belitung Timur,exact
22746128B36840991830224,Belu,5306,Belu,exact
22746128B4257100474226,Bener Meriah,1117,Bener Meriah,exact
22746128B45456061674897,Bengkalis,1408,Bengkalis,exact
22746128B96004883426087,Bengkayang,6102,Bengkayang,exact
22746128B78254403614329,Bengkulu Selatan,1701,Bengkulu Selatan,exact
22746128B16836972822517,Bengkulu Tengah,1709,Bengkulu Tengah,exact
22746128B39887218554518,Bengkulu Utara,1703,Bengkulu Utara,exact
22746128B34069275840087,Berau,6405,Berau,exact
22746128B19254678251292,Biak Numfor,9409,Biak Numfor,exact
22746128B14082340634491,Bima,5206,Bima,exact
22746128B62804497316712,Bintan,2102,Bintan,exact
22746128B71427834061478,Bireuen,1110,Bireuen,exact
22746128B45235083091424,Blitar,3505,Blitar,exact
22746128B85780086903212,Blora,3316,Blora,exact
22746128B1718153682633,Boalemo,7501,Boalemo,exact
